feedback_text,sentiment
We didn’t receive the fertilizer on time #802,Negative
The insurance claim was rejected unfairly #191,Negative
Our requests to the local officer went unheard #818,Negative
We received all the fertilizers on time this season #252,Positive
We are observing the growth phase of our crops #506,Neutral
Our requests to the local officer went unheard #118,Negative
Crop insurance hasn't been processed yet #412,Negative
We’re waiting for the market rates to stabilize #114,Neutral
The weather updates helped us avoid major damage #409,Positive
The soil seems to be holding moisture well #580,Neutral
Farmers attended a local meeting on agriculture trends #255,Neutral
The new irrigation system is saving us a lot of water #53,Positive
The app for fertilizer tracking is working well #645,Positive
Transport issues led to rotting of fresh produce #764,Negative
We are monitoring crop health regularly #777,Neutral
The timely rain and improved seeds gave us a great harvest #901,Positive
Loan disbursement is delayed every season #74,Negative
The scheme implementation was smooth and timely #473,Positive
There is routine inspection happening this week #739,Neutral
All tools and machines are working as expected #547,Neutral
The app for fertilizer tracking is working well #45,Positive
Our farm-to-market transport has improved greatly #290,Positive
The government scheme really benefited our village #913,Positive
There is steady demand in the local market #84,Neutral
The weather updates were inaccurate and misleading #361,Negative
There are no major updates from the cooperative #896,Neutral
There is an ongoing discussion about crop rotation #604,Neutral
We are losing hope due to consistent crop failure #227,Negative
Our training on composting was very effective #297,Positive
Local authorities are not responding to complaints #242,Negative
Heavy rains washed away the seeds after sowing #6,Negative
Fertilizer prices have increased drastically #666,Negative
Our training on composting was very effective #747,Positive
The seeds were distributed in the village yesterday #852,Neutral
The canal water system is functioning well now #292,Positive
Timely crop insurance saved us a big loss #782,Positive
Meetings are being held as usual #145,Neutral
The scheme implementation was smooth and timely #323,Positive
The organic fair gave us great exposure #299,Positive
"Government promised help, but nothing arrived #299",Negative
The app for fertilizer tracking is working well #195,Positive
I'm satisfied with the quality of seeds provided #64,Positive
We have enough resources for the next planting cycle #394,Positive
All the farmers in our area are happy this year #728,Positive
Subsidies are not being credited as promised #584,Negative
We had to sell our produce at throwaway prices #548,Negative
The situation is manageable at the moment #426,Neutral
The harvest festival went well with record outputs #15,Positive
No major incidents have been reported this season #568,Neutral
The drought has severely affected our crop yield #601,Negative
The insurance claim was rejected unfairly #91,Negative
There's talk about trying a new seed variety next year #112,Neutral
Our crop yield has significantly increased this year #204,Positive
The pest situation is currently under observation #419,Neutral
The new irrigation system is saving us a lot of water #153,Positive
The seeds were distributed in the village yesterday #902,Neutral
We’re unable to sell our produce at a fair price #360,Negative
The scheme implementation was smooth and timely #773,Positive
There is average participation in training events #679,Neutral
We didn’t receive the fertilizer on time #2,Negative
The co-operative model has brought more unity in farming #719,Positive
The government scheme really benefited our village #613,Positive
Access to expert advice has made a big difference #843,Positive
I'm grateful for the timely distribution of subsidies #267,Positive
We received all the fertilizers on time this season #52,Positive
Our complaints on the portal go unanswered #196,Negative
There was a power cut during crucial irrigation hours #271,Negative
Local authorities are not responding to complaints #492,Negative
The pest outbreak this season was uncontrollable #583,Negative
Weather conditions have been perfect for sowing #522,Positive
Fodder for livestock is not available this year #695,Negative
We’re waiting for the market rates to stabilize #664,Neutral
We are continuing with our usual cropping pattern #749,Neutral
We didn't receive any training this year #922,Negative
The new irrigation system is saving us a lot of water #103,Positive
Crop diversity is giving us more market options #696,Positive
Nothing unusual about the climate this month #333,Neutral
No special announcements from the authorities #725,Neutral
The fertilizer shop is functioning normally #273,Neutral
Nothing unusual about the climate this month #483,Neutral
The electricity bills are too high for farming operations #843,Negative
We’re burdened by increasing input costs #831,Negative
The app for fertilizer tracking is working well #795,Positive
There was a power cut during crucial irrigation hours #821,Negative
The seeds were distributed in the village yesterday #2,Neutral
The app for fertilizer tracking is working well #145,Positive
The situation is manageable at the moment #526,Neutral
We’re burdened by increasing input costs #331,Negative
We haven't made any changes in farming technique #478,Neutral
Farming operations are progressing steadily #882,Neutral
Weather conditions have been perfect for sowing #322,Positive
Crop insurance hasn't been processed yet #262,Negative
Farmers are planning the next crop cycle #415,Neutral
The soil quality has degraded over the years #270,Negative
The weather updates were inaccurate and misleading #761,Negative
I'm grateful for the timely distribution of subsidies #417,Positive
Farming operations are progressing steadily #632,Neutral
Everything appears to be under control for now #292,Neutral
The farm produce was sold out quickly this week #175,Positive
Storage facilities are in very poor condition #726,Negative
The situation is manageable at the moment #176,Neutral
Crop diversity is giving us more market options #46,Positive
The soil testing facility helped us choose the right fertilizer #686,Positive
The new seeds failed to germinate properly #608,Negative
There is no support during natural disasters #232,Negative
The government scheme really benefited our village #863,Positive
Fertilizer prices have increased drastically #966,Negative
Timely crop insurance saved us a big loss #332,Positive
We have enough resources for the next planting cycle #94,Positive
Local authorities are not responding to complaints #642,Negative
We haven't faced any new challenges so far #987,Neutral
I'm happy with how the new organic methods are working #507,Positive
We completed the harvesting process last week #910,Neutral
There are no major updates from the cooperative #46,Neutral
Crop diversity is giving us more market options #496,Positive
Nothing unusual about the climate this month #133,Neutral
The timely rain and improved seeds gave us a great harvest #1,Positive
The harvest festival went well with record outputs #315,Positive
The mobile app for services is not working properly #273,Negative
Local authorities are not responding to complaints #942,Negative
No major incidents have been reported this season #968,Neutral
There’s no help during pest infestations #317,Negative
The local market prices are favorable this time #756,Positive
There was a power cut during crucial irrigation hours #771,Negative
The drought has severely affected our crop yield #201,Negative
No special announcements from the authorities #175,Neutral
Local authorities are not responding to complaints #992,Negative
The new loan program was processed efficiently #880,Positive
The solar-powered pumps are very efficient #766,Positive
All the farmers in our area are happy this year #928,Positive
We haven't made any changes in farming technique #378,Neutral
Our crops were destroyed by wild animals #375,Negative
We are facing water scarcity in our village #815,Negative
"Government promised help, but nothing arrived #799",Negative
The new loan program was processed efficiently #930,Positive
Farmer meetings helped us plan better for the season #437,Positive
Our training on composting was very effective #197,Positive
The pesticides provided were ineffective #763,Negative
We are facing water scarcity in our village #65,Negative
No significant change in government policies #343,Neutral
There is average participation in training events #529,Neutral
We are not getting enough returns to repay our loans #269,Negative
The market has usual crowd this season #324,Neutral
The soil seems to be holding moisture well #780,Neutral
The situation is manageable at the moment #226,Neutral
The timely rain and improved seeds gave us a great harvest #451,Positive
Farmers are planning the next crop cycle #165,Neutral
The fertilizer shop is functioning normally #373,Neutral
The rainfall has been average compared to last year #13,Neutral
I'm confident we'll have a great season ahead #271,Positive
The insurance claim was rejected unfairly #841,Negative
The crops are growing at a normal pace #935,Neutral
Our sugarcane output is at an all-time high #979,Positive
Livestock health has remained stable #167,Neutral
The awareness program helped us use pesticides more effectively #355,Positive
We are losing hope due to consistent crop failure #877,Negative
We’ve had a bumper harvest of rice this season #185,Positive
Meetings are being held as usual #745,Neutral
We are facing water scarcity in our village #615,Negative
We completed the harvesting process last week #760,Neutral
We are struggling due to lack of proper irrigation #707,Negative
Crop insurance hasn't been processed yet #862,Negative
Our training on composting was very effective #247,Positive
The local market prices are favorable this time #556,Positive
Pests destroyed most of our harvest this year #753,Negative
We are facing water scarcity in our village #365,Negative
We had no pest issues this time thanks to early intervention #68,Positive
The pest situation is currently under observation #619,Neutral
The crops are growing at a normal pace #285,Neutral
The online portal made seed ordering very easy #533,Positive
The market has usual crowd this season #874,Neutral
We are observing the growth phase of our crops #706,Neutral
Pests destroyed most of our harvest this year #503,Negative
Our soil health has improved thanks to expert advice #762,Positive
Weather has been neither too dry nor too wet so far #753,Neutral
Crop insurance hasn't been processed yet #212,Negative
We’re maintaining our usual schedule for sowing #244,Neutral
We are facing labor shortages during peak season #794,Negative
The soil testing facility helped us choose the right fertilizer #536,Positive
The crop loan interest rates are too high #747,Negative
I'm satisfied with the quality of seeds provided #464,Positive
We haven't made any changes in farming technique #678,Neutral
No one came for the soil testing we requested #840,Negative
The rainfall has been average compared to last year #863,Neutral
The farm produce was sold out quickly this week #125,Positive
Our sugarcane output is at an all-time high #179,Positive
Access to expert advice has made a big difference #193,Positive
Local authorities visited the farm to inspect progress #308,Neutral
Middlemen are taking away most of the profits #430,Negative
Local authorities are not responding to complaints #692,Negative
The canal water system is functioning well now #742,Positive
The irrigation canal has been dry for months #35,Negative
There’s no help during pest infestations #967,Negative
Our sugarcane output is at an all-time high #479,Positive
Local vendors are exploiting us by offering low prices #28,Negative
The seeds were distributed in the village yesterday #602,Neutral
The co-operative model has brought more unity in farming #369,Positive
The market has usual crowd this season #524,Neutral
Crop diversity is giving us more market options #846,Positive
I'm happy with how the new organic methods are working #257,Positive
The mobile app for services is not working properly #223,Negative
The electricity bills are too high for farming operations #993,Negative
Our soil health has improved thanks to expert advice #212,Positive
The farm produce looks standard this season #690,Neutral
We’re facing huge losses this season again #950,Negative
The pesticides provided were ineffective #363,Negative
The seeds were distributed in the village yesterday #152,Neutral
There is an ongoing discussion about crop rotation #154,Neutral
We had no pest issues this time thanks to early intervention #568,Positive
The fields have been plowed and are ready for sowing #207,Neutral
We’re maintaining our usual schedule for sowing #94,Neutral
The weather updates were inaccurate and misleading #711,Negative
Transport issues led to rotting of fresh produce #264,Negative
The market has usual crowd this season #124,Neutral
The organic fair gave us great exposure #799,Positive
Government officials were responsive and helpful #81,Positive
The online portal made seed ordering very easy #33,Positive
The harvest festival went well with record outputs #415,Positive
The market prices are too low to make a profit #805,Negative
We’re waiting for the market rates to stabilize #214,Neutral
We didn't receive any training this year #322,Negative
Our requests to the local officer went unheard #568,Negative
Our livestock is healthier with the new fodder program #784,Positive
Everything appears to be under control for now #992,Neutral
The pesticides provided were ineffective #413,Negative
The support from the agriculture department was very helpful #458,Positive
Our farm-to-market transport has improved greatly #140,Positive
We are using last year’s strategies for this crop #231,Neutral
Storage facilities are in very poor condition #26,Negative
The mobile alerts are useful for daily farming tips #89,Positive
The electricity bills are too high for farming operations #443,Negative
There is no support during natural disasters #832,Negative
We are monitoring crop health regularly #577,Neutral
The awareness program helped us use pesticides more effectively #255,Positive
The local market prices are favorable this time #606,Positive
Fodder for livestock is not available this year #45,Negative
The co-operative model has brought more unity in farming #569,Positive
The pest outbreak this season was uncontrollable #733,Negative
No significant change in government policies #543,Neutral
The support from the agriculture department was very helpful #858,Positive
The fertilizer shop is functioning normally #473,Neutral
We had no pest issues this time thanks to early intervention #818,Positive
We are using last year’s strategies for this crop #31,Neutral
Local vendors are exploiting us by offering low prices #878,Negative
The canal water system is functioning well now #142,Positive
We have enough resources for the next planting cycle #444,Positive
Our crops were destroyed by wild animals #175,Negative
Farmer meetings helped us plan better for the season #487,Positive
Timely crop insurance saved us a big loss #882,Positive
Farmers are planning the next crop cycle #565,Neutral
The irrigation canal has been dry for months #85,Negative
We’re facing huge losses this season again #300,Negative
The drip irrigation system is working really well #176,Positive
Fodder for livestock is not available this year #95,Negative
We planted the crops last week as per schedule #701,Neutral
All tools and machines are working as expected #847,Neutral
Transport issues led to rotting of fresh produce #964,Negative
Farming operations are progressing steadily #682,Neutral
Communication among farmers has been normal #98,Neutral
We are observing the growth phase of our crops #156,Neutral
We are struggling due to lack of proper irrigation #557,Negative
There was a power cut during crucial irrigation hours #671,Negative
All the farmers in our area are happy this year #178,Positive
Government schemes are not reaching us on time #79,Negative
The organic fair gave us great exposure #599,Positive
We are using the same resources as last year #191,Neutral
Farming operations are progressing steadily #532,Neutral
No major incidents have been reported this season #668,Neutral
We haven't faced any new challenges so far #787,Neutral
The new loan program was processed efficiently #480,Positive
Our requests to the local officer went unheard #968,Negative
The new seeds failed to germinate properly #58,Negative
The pest situation is currently under observation #269,Neutral
Our livestock is healthier with the new fodder program #534,Positive
There was no proper guidance from the agriculture department #104,Negative
We are struggling due to lack of proper irrigation #107,Negative
We haven't made any changes in farming technique #928,Neutral
Loan disbursement is delayed every season #124,Negative
Access to expert advice has made a big difference #943,Positive
The government scheme really benefited our village #163,Positive
We didn’t receive the fertilizer on time #552,Negative
The solar-powered pumps are very efficient #966,Positive
Weather conditions have been perfect for sowing #472,Positive
The app for fertilizer tracking is working well #845,Positive
The organic fair gave us great exposure #999,Positive
The market prices are too low to make a profit #905,Negative
Government officials were responsive and helpful #31,Positive
We are using the same resources as last year #891,Neutral
I'm impressed by the new farming techniques we learned #424,Positive
Our soil health has improved thanks to expert advice #512,Positive
Most farmers are preparing for the next sowing season #759,Neutral
Irrigation has been functioning as expected #738,Neutral
We are facing labor shortages during peak season #394,Negative
There are no proper roads to transport our produce #587,Negative
Middlemen are taking away most of the profits #930,Negative
Communication among farmers has been normal #498,Neutral
The new tractor loan has helped speed up fieldwork #788,Positive
We haven't faced any new challenges so far #637,Neutral
There is routine inspection happening this week #539,Neutral
The new irrigation system is saving us a lot of water #403,Positive
Our livestock is healthier with the new fodder program #434,Positive
We didn’t receive the fertilizer on time #152,Negative
I'm impressed by the new farming techniques we learned #74,Positive
There are no proper roads to transport our produce #537,Negative
We completed the harvesting process last week #710,Neutral
Weather conditions have been perfect for sowing #622,Positive
Unseasonal rains have caused major crop losses #438,Negative
We’re unable to sell our produce at a fair price #560,Negative
There’s no help during pest infestations #567,Negative
The farm produce was sold out quickly this week #325,Positive
The online portal made seed ordering very easy #333,Positive
The electricity bills are too high for farming operations #393,Negative
The timely rain and improved seeds gave us a great harvest #651,Positive
We haven't faced any new challenges so far #237,Neutral
Subsidies are not being credited as promised #534,Negative
We’re waiting for the market rates to stabilize #164,Neutral
We have enough resources for the next planting cycle #544,Positive
Most farmers are preparing for the next sowing season #959,Neutral
We are not getting enough returns to repay our loans #819,Negative
Our crops were destroyed by wild animals #625,Negative
Local vendors are exploiting us by offering low prices #178,Negative
The new loan program was processed efficiently #680,Positive
All tools and machines are working as expected #97,Neutral
The soil seems to be holding moisture well #30,Neutral
We’re unable to sell our produce at a fair price #660,Negative
Unseasonal rains have caused major crop losses #638,Negative
Our farm-to-market transport has improved greatly #240,Positive
